Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C3, C8, C9",0603,5,100nF,
"C2, C4, C5",0603,3,10µF,
"C6, C7",0603,2,20pF,
FB1,0603,1,1kΩ@100MHz 500mΩ@DC,
J1,PinHeader_1x03_P2.54mm_Horizontal_Alt,1,Pin header,
J2,EMI_Shield_MS207-10S,1,EMI Shield,
J3,0527450897,1,FFC8,
J4,505110-1292,1,Display interface,
Q1,SOT-23,1,BC847C,
"R1, R4",0603,2,10kΩ,
R2,0603,1,2.2MΩ,
R3,0603,1,15MΩ,
R5,0603,1,1MΩ,
R6,0603,1,10Ω,
R7,0603,1,1kΩ,
U1,SOT-23-5,1,MCP6001T-I/OT,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,
U3,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,XC32M4-8.000 12pF,
